refinedweb_sample
refinedweb_sample,,,,,,
refinedweb_sample,,,,,,
content,url,timestamp,dump,segment,image_urls,Tone
"Use Your Garage as a Hobby Space
Your garage is a very important part of your home. While most homeowners use their garage to store their cars, there are also many other uses. 1st Rate Garage Doors has a few tips on using your garage for your favorite hobbies.
Make Your Hobby Space Unique
Think of your garage as an extension of your home. Most homeowners store personal things, tools, or recreational equipment in their garage. If you’re willing to park your car in the driveway, you can convert your garage into an extra entertainment space.
What are your favorite hobbies? Whether it’s video games, a laundry room or crafting, your garage can serve as a place for the things you like to do. After you pick a theme for your space, you’re ready to get to work.
Converting Your Garage
There are several things to consider when converting your garage into a hobby space. If you’re going to spend plenty of time here, think of this area as another living space. If you think your space is not convertible, then seek advice from an expert. They can help make it work for you.
Check the Foundation
Check the flooring foundation before you begin converting. You don’t want to start working on a unstable foundation. Check for any cracks or gaps and make plans to fill those in.
Consider A Flooring Change
Most people want their hobby spaces to look inviting. Consider making a simple upgrade to your flooring. You can make this a simple process with latex paint, tiles, or epoxy. Also, make sure there’s plenty of insulation under the flooring.
Add Some Windows
Do you want natural light in your space? Consider adding a few windows to brighten up the room. Windows will also help with heating during the winter months.
Build Some Shelves
Don’t forget about adding some shelf space no matter what your hobby is. Building shelves into the walls or against them will keep your items off the floor. This leaves more room for your hobby area.
Entry Doors
Does your garage have a door that leads into your home? If not, it’s a good idea to add one. A door helps with air circulation and easy access into your home.
Don’t Forget The Essentials
After you concentrate on the major areas, don’t forget the helpful details. Consider essentials such as:
● Heating and cooling – Changes are your garage doesn’t have central heating or cooling. An electrician will wire your space and help install heating and cooling in the garage. You can also install simple fans if you don’t want the cost of air conditioning.
● Security camera – Installation security is important for your safety. If your home already has cameras installed, then add another to your garage space.
● Dehumidifier – A garage can harbor moisture that will damage your items. Run a dehumidifier to reduce the moisture in the air.
These are just a few things to think about for your hobby space.
If you’re thinking about making your garage into a hobby space, use these tips from the team at 1st Rate Garage Doors. We always here to answer questions about your garage space.",https://brokengaragedoorexperts.net/use-your-garage-as-a-hobby-space/,2020-01-17 15:23:20,CC-MAIN-2020-05,1579250589861.0,[],"Positive: The text encourages readers to explore alternative uses for their garage, promoting creativity and personalization in creating hobby spaces, with practical tips provided by 1st Rate Garage Doors. (Encouraging and informative)
Negative: There are no negative aspects mentioned in the text, maintaining a wholly positive tone towards utilizing garage space for hobbies. (Lacks critical evaluation or potential drawbacks)
Neutral: The text provides straightforward advice on converting a garage into a hobby space, including considerations for flooring, windows, shelves, entry doors, and essential amenities like heating, cooling, security, and dehumidification. (Informative guide without expressing strong emotions or opinions)"
"Produce Mom Lori Taylor talks about greenhouse farming and does a little Bananas 101.
Green Tomatoes
Ingredients
3 Green Tomatoes
1 Onion
1-2 Packages of Truvia
1 T Olive Oil or Coconut Oil
Minced Garlic
Salt & Pepper
Directions
1. Remove stems from Tomatoes
2. Dice Tomatoes & Onion
3. Heat oil in skillet, add tomatoes, onions and Truvia
4. Stir occasionally, cook mixture on medium-low heat for about an hour. Add garlic, salt & pepper to taste during last few minutes of cooking.
Green Tomato & Bell Pepper MeltŽ4-inch-thick) slices
2 slices Mozzarella Cheese
Freshly Ground Pepper
2 tsp. Olive Oil
Directions
In a sauté pan that is heated on high, add 2 tsp. of Olive Oil.
Add the Pepper Slices and sauté for about 2-3 minutes until they are crisp and tender.
Preheat broiler to 375 degrees.
Combine Mayonnaise and Pesto in a bowl and stir with a whisk.
Spread 2 tablespoons Pesto Mixture onto 1 side of each bread slice. Layer each slice with 1 Ham slice, 2 Tomato Slices, 8 slices of Peppers and 1 Cheese Slice.
Place on a baking sheet, broil 3 minutes or until cheese melts. Sprinkle with Pepper
- See more at:
Chiquita Recipe
Banana Smores
Ingredients
Whole Chiquita Banana, unpeeled
6 whole. Or bake in the oven at 350 degrees for 5 minutes.
Nature Fresh Information:
Website:
Twitter: @Nature_Fresh
Chiquita Information:
Website:
Twitter: @Chiquita
The Produce Mom Information:
Website:
Facebook: Facebook.com/theproducemom
Twitter: @ProduceMom",http://wishtv.com/2014/03/25/produce-mom-goes-bananas/,2014-10-20 08:07:03,CC-MAIN-2014-42,1413507442288.9,[],"Positive: The text provides recipes and cooking directions for utilizing green tomatoes in various dishes, showcasing the versatility of this ingredient and offering creative culinary ideas. (Informative and engaging, promoting experimentation in the kitchen)
Negative: There are no negative aspects mentioned in the text, maintaining a wholly positive tone towards cooking with green tomatoes and bananas. (Lacks critical evaluation or potential drawbacks)
Neutral: The text includes instructions for preparing green tomato dishes such as Green Tomato & Bell Pepper Melt and Banana S'mores, along with contact information for Nature Fresh, Chiquita, and The Produce Mom for further information. (Informative guide without expressing strong emotions or opinions)"
"Scientists that has suggested a link between the expression of these tumor-suppressing RNAs and other types of cancer.
The next step was to determine whether restoring miR-15/16 inside cells could help the body to fight mesothelioma. To test this, researchers injected synthetic miR mimics packaged in “minicells” into the mesothelioma-bearing mice.
The results were encouraging. Not only did restoring miR-15/16 expression inhibit the growth of mesothelioma cells, but it also appeared to make them more sensitive to chemotherapy with pemetrexed and gemcitabine, two of the most popular first-line drugs for mesothelioma. According to the report, injections of the miR-15/16 mimics led to “consistent and dose-dependent inhibition of malignant pleural mesothelioma tumor growth”. The team concludes that this miRNA-targeting method may offer a new way to combat this aggressive cancer.
Mesothelioma, a rare cancer caused by exposure to asbestos, is a major problem in Australia, which has one of the highest rates of the disease in the world. Because the early stages of the disease usually occur years after exposure and produce very few symptoms, mesothelioma is often not diagnosed until it is in its advanced stages, making treatment even more challenging. Australia has banned the mining, use and importation of asbestos products, but continues to pay a heavy price – in the form of mesothelioma, asbestos and other diseases – for decades of asbestos use.
Source:
Reid, G, et al, “restoring expression of miR-16: a navel approach to therapy for malignant pleural mesothelioma”, October 22, 2013, Annals of Oncology, Epub ahead of print.",https://survivingmesothelioma.com/micro-rnas-may-offer-new-way-to-fight-mesothelioma/,2021-02-24 23:17:21,CC-MAIN-2021-10,1614178349708.2,[],"Positive: The text highlights promising research suggesting a potential treatment for mesothelioma using miR-15/16 mimics, indicating a step forward in combating this aggressive cancer and potentially enhancing the effectiveness of existing chemotherapy drugs. (Informative and hopeful, offering potential solutions to a challenging medical problem)
Negative: The discussion of mesothelioma's prevalence and delayed diagnosis underscores the severity of the disease and the ongoing challenges in addressing it, particularly in regions like Australia with high rates of asbestos-related illnesses. (Emphasizes the negative impact and challenges associated with mesothelioma)
Neutral: The text provides information on a study published in the Annals of Oncology, detailing the link between tumor-suppressing RNAs and mesothelioma, as well as the potential therapeutic implications of restoring miR-15/16 expression in combating this cancer. (Informative report without expressing strong emotions or opinions)"
"Previous proposal
arrow_back Operating data pipeline using Airflow @ Slack
Needle in a haystack : entity search on text and graph
Submitted by Uma Sawant (@umasawant) on Tuesday, 1 May 2018
Abstract
Web search today is moving towards displaying “answers” rather than making the user browse through pages to find what they want. “Entity” search queries, where the expected answer is a list or a set of objects; form more than 40% of today’s Web search. Yet the current approaches for answering such queries are quite brittle.
We improve the state-of-the-art by infusing the semantic information of entities, their types and inter-relations into free text from Web documents. The result is a much more robust QA engine. In this talk, we will discuss the challenges in Web-scale entity search, our approach of combining structured and unstructured information and how that allows us to answer user queries better.
Outline
Slides -
Speaker bio
Uma Sawant is an applied reseach engineer working in LinkedIn. She previously acquired her PhD and masters in Computer Science, from IIT Bombay, India. Her PhD thesis centers around Entity search and she has given a number of talks in this field, including international peer-reviewed conferences as well as data meetups.
Links
Slides
Login with Twitter or Google to leave a comment",https://hasgeek.com/fifthelephant/2018/proposals/needle-in-a-haystack-entity-search-on-text-and-gra-Nc4sgvLTFXYNfUifwGHUag,2019-05-19 13:32:20,CC-MAIN-2019-22,1558232254882.18,[],"Positive: The proposal addresses a relevant and pressing issue in web search, highlighting the importance of improving entity search queries and offering a potential solution to enhance the user experience. (Addresses a significant problem and proposes a solution)
Negative: The proposal suggests that current approaches for answering entity search queries are ""quite brittle,"" indicating a limitation or weakness in existing methods. (Identifies a challenge or drawback in current practices)
Neutral: The proposal outlines the speaker's background, including her education and research experience, without expressing strong emotions or opinions. It also provides links to slides and a comment section for further engagement. (Provides factual information and resources without bias)"
"VIDEO: Rich Clune — yes, Rich Clune — scores on a penalty shot
-
-
- Updated: March 12, 2013
The Nashville Predators beat the Dallas Stars, 4-0, tonight but the real story was the unlikely penalty shot goal scorer.
Tough guy Rich Clune was hauled down on a breakaway by Stars defenseman Jordie Benn midway through the contest. As a result, the Preds winger — who had scored his first NHL goal just 36 days earlier — was awarded a penalty shot.
When asked by radio analyst and former NHLer Stu Grimson if he had ever scored on a penalty shot, Clune replied “If you do your research on the internet, you’ll be able to pull up my stats from my last year in junior in Barrie where I went four-for-four in shootouts. 100 percent no lie.”
The hashtag #100PercentNoLie” appeared promptly on Twitter and no doubt will become a season-long thing.
Nashville is now 3-0-0 when Clune scores a goal. Additionally, they have scored at least four goals in each of those games as well.
—
PHOTO CREDIT: Sarah Fuqua (used with permission)
VIDEO CREDIT: HockeyVideoHD // YouTube",http://section303.com/video-rich-clune-yes-rich-clune-scores-on-a-penalty-shot-50901,2014-10-20 08:03:44,CC-MAIN-2014-42,1413507442288.9,"[array(['http://section303.com/wp-content/uploads/2013/07/Rich-Clune-Sarah-Fuqua.jpg',
        'Rich Clune (Sarah Fuqua)'], dtype=object)                                    ]","Positive: The text highlights an unexpected and exciting event in a hockey game, where Rich Clune, known as a tough player rather than a scorer, successfully scores on a penalty shot, adding an element of surprise and excitement to the game. (Engaging and upbeat, celebrating an unexpected achievement)
Negative: There are no negative aspects mentioned in the text, maintaining a wholly positive tone towards Rich Clune's accomplishment and the excitement it generates among fans. (Lacks criticism or negative commentary)
Neutral: The text provides a factual account of Rich Clune's penalty shot goal during a Nashville Predators game against the Dallas Stars, including details about his previous scoring record and the team's success when he scores goals. (Provides factual information without expressing strong emotions or opinions)"
"Get 40% Off or Fast 5 Free (a $99 value) in September 2014 with our exclusive Nutrisystem Discount Codes and Coupons! Nutrisystem is one of the best weight loss systems for anyone to use. The program has been in operation in a number of forms since 1972 and has helped millions lose weight and keep that weight off. It’s worked for men, women and those with diabetes. There were a number of new developments to Nutrisystem in 2013 that made it even easier for you to lose weight. Those included developments that allow you to work with your own dietary rules for dinners and the weekends in the Dinners on Your Own and Weekends on Your Own program. Now, new to 2014, are the “Nutrisystem My Way” Program and “Fast5 Meal Kits”.
Nutrisystem Discount Code 1 – Free Fast5 ($99 Value) (No coupon needed, offer activated at checkout!)
Get Fast5 for Free - $99 Value!
Nutrisystem Discount Code 2 – 40% Off + 1 Week Free (No coupon needed, offer activated at checkout!)
40% Off + 1 Week Free
<<Simply Click the Banner to get Fast5 for Free!!! ($99 Value)>>
Nutrisystem Review
Open the Box, Eat the Food, Lose the Weight!
Losing weight has never been easier for you to work with.. You’re only required to do three things for each meal. Open the box, eat the food and lose the weight. It’s that simple!
A Variety of New Foods
The Nutrisystem program is now updated with a number of brand new foods that will help you get the most out of your diet. Everything you eat will be based off of the glycemic index, a key measurement that helps you to keep from eating the wrong things while on your diet.
There are more than 150 different foods for breakfast, lunch, dinner and desert. You can choose from all sorts of different choices including thirty different brand new dishes. These new dishes include such popular options as Chicken Parmesan Melt, Spicy Kung Pao Noodles and Loaded Baked Potato.
It even comes with some unique desserts that you’d never expect to find in any diet. You can just open the box, eat your Streusel Muffin or Stuffed Apple Pie among other unique dessert options and lose weight.
Everything that is made available for you on this diet is made with only the right measurement of fiber, protein and carbs. This should help you to lose weight without providing you with more food than what your body can afford to take in.
In fact, this diet will work well no matter what your situation is. Nutrisystem offers different choices for men, women and diabetics. Each program is engineered with the right food options for every single client who needs weight loss help.
It also makes you feel a little more comfortable when trying to get to the Now I Can Moment you’ve always wanted. There’s no need to count calories, points or anything else. Also, you don’t have to deal with annoying weigh-ins when dieting.
Dinners on Your Own
The Nutrisystem diet traditionally helps you out by using simple foods that are delivered to your door alongside fresh grocery items to help you balance your diet. However, you can also take advantage of the Dinners on Your Own program.
Nutrisystem will help you out by providing you the freedom to go with whatever food you want to use for dinner each day. This is made with the intention of helping you to find the right foods for your specific weight loss needs without risking any weight gain in the process.
Weekends on Your Own
The Weekends on Your Own program is another unique part of the diet that will help you the most. This allows you five days of quality food from Nutrisystem while providing you with more flexibility during the weekends. This includes helping you choose healthy foods that you can choose from on the weekends. This program of the diet is a means of helping you to figure out better choices for yourself.
This is an extension of the Dinners on Your Own program in that it helps you to stick to the plan. It makes it so you can feel more comfortable with your food choices no matter what you choose to use in your diet.
Reach Your “Now I Can Moment”
A main point about the program is that it makes it easier for you to reach the “Now I Can Moment” that you’ve always wanted to get into. Nutrisystem has worked in many cases for individuals where other diets have failed. Nutrisystem even guarantees that you will have success when you are on this diet.
You can get your “Now I Can Moment” with food that has been known to help others lose nearly forty percent more weight than on their own. It all comes with the quality foods that you would come to expect out of the company.
Strong Guarantees
Nutrisystem is so confident in you getting to that “Now I Can Moment” that it is offering a number of different specials dedicated to helping you out with losing weight. For instance, you will get a full refund if you are not comfortable with the diet. Your satisfaction is completely guaranteed while using it.
Free Features
In addition, you can enjoy all sorts of features that go beyond just opening the box, eating the food and losing weight. You’ll also receive access to a number of Nutrisystem membership tools online. These include many trackers and support services that will help you to keep on track with your diet. This is all made to help you out with improving your body.
Be sure to see what new features are coming this year with the Nutrisystem program. You can work with many new foods this year to help you reach that “Now I Can Moment” you’ve always wanted. It’s all done with smart choices and even with some freedom for you on the weekends and evenings. It is all guaranteed to give you the best possible weight loss result that you could ever ask for.",http://www.healthy-dietplans.com/coupons/nutrisystem/,2014-10-20 08:04:51,CC-MAIN-2014-42,1413507442288.9,"[array(['http://media.healthy-dietplans.com/wp-content/plugins/wp-coupon/images/dark.png',
        None], dtype=object)
 array(['http://media.healthy-dietplans.com/wp-content/plugins/wp-coupon/images/purplereveal.png',
        None], dtype=object)
 array(['http://media.healthy-dietplans.com/wp-content/plugins/wp-coupon/images/dark.png',
        None], dtype=object)
 array(['http://media.healthy-dietplans.com/wp-content/plugins/wp-coupon/images/greenactivate.png',
        None], dtype=object)
 array(['http://media.healthy-dietplans.com/wp-content/plugins/wp-coupon/images/cover_h_d.png',
        None], dtype=object)                                                                   ]","Positive: The text presents Nutrisystem as an effective weight loss system with a long history of success, offering discounts and promotions to make it more accessible to potential customers. It highlights the variety and quality of food options available, as well as the convenience and simplicity of the program. (Promotes Nutrisystem as a reliable and convenient weight loss solution)
Negative: There are no negative aspects mentioned in the text, maintaining a wholly positive tone towards Nutrisystem's effectiveness, guarantees, and customer satisfaction. (Lacks criticism or negative commentary)
Neutral: The text provides detailed information about Nutrisystem's program features, including discounts, meal options, flexibility in meal planning, guarantees, and online support tools, without expressing strong emotions or opinions. (Provides factual information and promotional content without bias)"
"Hello there!
It’s been a while since the last time I posted here in my blog. So many things happened in my life… so many special occasions cherished and blessings shared; birthdays, Christmas, New Year, valentines etc. 2015 has been so good to me that the Lord gave us one of the biggest gift, at last after more than 10 long years I will be having my baby again. I am on 18 weeks now so far so good I just hope for a healthy, safe and worry free pregnancy, though it’s been difficult for me not to worry too much because of the previous miscarriages that I considered myself high risk . I am trying to take one day at a time no stress and continue to pray hard, hold on to my faith and for sure Lord Jesus will protect and take care of us.
Credit to original owner of photo
Till then! I may not be here for a while but for sure , next time I am going to share with you photos of my baby!
Oh! before I forgot this is my 8 years anniversary in blogging. Ye’y congratulations to me!
Love Lots,
Ana Banana",https://anasarmiento.wordpress.com/,2017-01-16 21:40:08,CC-MAIN-2017-04,1484560279368.44,"[array(['https://anasarmiento.files.wordpress.com/2016/03/baby-gifts.jpg?w=490',
        'baby-gifts'], dtype=object)                                            ]","Positive: The text expresses gratitude and joy for the blessings received in 2015, including the announcement of a long-awaited pregnancy. It conveys hope and optimism for a healthy and safe pregnancy, despite past challenges, and celebrates the author's 8-year anniversary in blogging. (Expresses gratitude, hope, and celebration)
Negative: There are no negative aspects mentioned in the text, maintaining a wholly positive tone towards the blessings received and the anticipation of welcoming a new baby. (Lacks criticism or negative commentary)
Neutral: The text provides a personal update on the author's life events, including special occasions, pregnancy, and blogging anniversary, without expressing strong emotions or opinions. (Shares personal updates without bias)"
"The recently published article “Is design thinking a failed experiment?” by John Coyle, resonated in my head as I revisited one of my latest projects. Last year I was collaborating in a 6 month project, as user experience designer to bring design thinking practice and service design awareness within a financial institution, for the wholesale bank teams.
As Coyle points out in his article the key item for a successful venture like this is in the mindset of our leaders.
Our corporations are misusing design thinking by looking at it as a process brought in by external resources, with specific knowledge and expertise on this subject. Instead of looking within the internal capability they have to change. By changing their own mindset, which in turn leads to an inclusive, and internal use of intelligence and resources. This implies a different perspective and skill set.
This change in the mindset is at the base of creativity. And creativity is the foundation of any project. It allows space for exploration onto new grounds to frame problems differently.
Back to my project, with each of the teams I collaborated with, I saw no support from the organisation itself. Leaders were absent and all team members were working double. They were both dedicated to developing their ideia for the next 6 months, and expected to keep up their regular work which they have been doing for most part of their professional life.
There was no setup to give these people, these creators, the room to be creative. There were no leaders standing behind them, facilitating the space and clearing up path for them to grow, and educate themselves in looking differently at the problems they identified.
The result was constant communication mismatch between designers, managers, and teams. We all had completely different expectations on the work methods and this influenced the way we co-worked.
It became a frustration for both sides when working on deliverables, and the resulting outcomes and strategies were a challenge.
I believe Coyle really nails it when he answers the question: “Why do companies get it wrong?”
“Despite this self-acknowledged deficit, where do companies put their investment into innovation? Into strategy, governance, and process. Most companies demand innovation from their leaders, and have NOTHING in their leadership development programs to teach creativity, design thinking or creative problem solving. They are solving the WRONG PROBLEM! Which brings us back to the core premise of design thinking – which is ensuring you are answering the right central question. In this case instead of “how do we institute an innovation process” in our firm, a better question might be “how do we create an innovation mindset in our leaders?”
I will stress out again:
“…where do companies put their investment into innovation? Into strategy, governance, and process. Most companies demand innovation from their leaders, and have NOTHING in their leadership development programs to teach creativity, design thinking or creative problem solving. “…how do we create an innovation mindset in our leaders?”
He then proceeds by referring to a source:
“Bruce (Nussbaum) argues much the same suggesting a new kind of intelligence quotient be developed: we had IQ, then EQ, he now suggests a “CQ” – a creative quotient of intelligence.”
This is what I have missed. A chance to talk to leaders and understand their mindset, to understand what they see as innovation and creativity. Only then is there a truthful, meaningful conversation instead of endless days filled with missing opportunities.
A better working experience and environment could be changed by starting with that question, understanding what leaders see in projects as these, and get them involved in the process, continuously.
Perhaps, instead of overwhelming teams with days of heavy loaded workshops on tools and processes, organise creative days were teams are challenged and exposed to new ways of thinking. Leaders should also be involved in these creative sessions, to give support and trust, while being continuously assessed on their CQ in order to become ambassadors of creative thinking within the organisations.
In his conclusion Coyle points out the importance of the quotient of intelligence for the success of design thinking. I agree, and the leaders who develop, implement and spread it, will become the game changers that can transform organisations as we know them.
What other ideas do you have for applying creative thinking within organisations? What are your experiences and challenges?
Recent Comments",http://www.anamm.net/unfailing-design-thinking-on-organisations/,2019-04-18 18:33:32,CC-MAIN-2019-18,1555578526228.27,[],"Positive: The text reflects on the importance of fostering a creative mindset within organizations, emphasizing the need for leaders to champion innovation and design thinking. It offers insights from the author's own experience and resonates with the ideas presented in John Coyle's article, advocating for a more inclusive and supportive approach to creativity in the workplace. (Encourages a positive shift towards creativity and innovation in organizations)
Negative: There are no negative aspects mentioned in the text, maintaining a wholly positive tone towards the importance of creative thinking and the challenges faced in fostering it within organizations. (Lacks criticism or negative commentary)
Neutral: The text presents a thoughtful analysis of the role of creativity in organizational success, drawing from personal experiences and referencing John Coyle's article. It invites readers to share their own ideas and challenges in applying creative thinking within organizations. (Provides an objective discussion of the topic without expressing strong emotions or opinions)"
"Function does not start by itself (on pageload)
- Remco Koffijberg last edited by
Hi all,
I would like an animation to autostart on page load. I’m in the Onsen UI V2 JS Splitter example within the ons-template in an ons-page.
I found that adding a script tag between the “/ons-page” and the “/ons-template” tags gets read (this took me quite some time… (-; )
I added this:
document.addEventListener(""init"", function(event) { if (event.target.id == ""score.html"") { Progress1(); } }, false);
Nothing happened.
I added this
setTimeout(function(){ Progress1(); }, 3000);
The function starts! (thank you @Andi ) But only the first time the page is opened. The second time: nothing happens. On reload it usually works (not always).
I added a button that called the function
</ons-toolbar-button> </div> <div class=""right""> <ons-toolbar-button <ons-icon</ons-icon> </ons-toolbar-button>
This always works.
Any ideas why the function won’t start and what to do about it?
thanks
Remco
@Remco-Koffijberg Hello! The page is only initialized once, so
initevent won’t work for you. You can try with
showevent instead.
- Remco Koffijberg last edited by
Aha, that clarifies something. (-; But it doesn’t do anything though.",https://community.onsen.io/topic/661/function-does-not-start-by-itself-on-pageload/1,2021-02-24 23:29:32,CC-MAIN-2021-10,1614178349708.2,[],"Positive: The text demonstrates the user's proactive approach to problem-solving and willingness to seek assistance from others in resolving technical issues related to starting an animation on page load. It also highlights the helpfulness of community members in providing advice and suggestions. (Shows initiative and collaboration in troubleshooting)
Negative: The user expresses frustration and confusion regarding the behavior of their script and the inconsistency of the animation starting on page load. Despite their efforts to implement various solutions, they still encounter difficulties, indicating potential technical challenges or limitations. (Reflects frustration and technical issues)
Neutral: The text provides a detailed description of the problem faced by the user and their attempts to address it, including adding scripts and seeking advice from the community. It presents the situation objectively without expressing strong emotions or opinions. (Describes the issue and troubleshooting efforts without bias)"
"Obituary: Frank Woods, Clos du Bois Founder
Frank Montgomery Woods Jr. engaged life with enthusiasm. He was an active member of the Bohemian Club, The Pacific-Union Club, the California Tennis Club, the Guardsmen and San Francisco Golf Club. Frank was a passionate bridge player and a student of the game. In the last few years, he had been working on an extensive compilation of bridge notes, which he shared with his bridge partners and interested friends.
Frank’s life began 81 years ago, in Chattanooga, Tennessee, the eldest son of Josephine Roberts Woods and Frank Montgomery Woods. He spent his childhood in Birmingham, Alabama, and Nashville, Tennessee, then earned his bachelor’s degree from Cornell University (‘50-‘54), in the School of Hotel Administration. He was a member of the Sigma Phi fraternity.
Following graduation, Frank served in Korea. He was a U.S. Army Second Lieutenant in charge of a quartermaster depot. In 1956, Frank joined the advertising and marketing department of Proctor & Gamble in Cincinnati, Ohio. After five years at P&G, Frank moved to the Bay Area to launch his own company, Marketing Continental, with his friend, Edward Eyre. An entrepreneur at heart, Frank’s company was instrumental in developing and introducing products such as the Pine Mountain Log, Tiger’s Milk (a predecessor of Carnation Instant Breakfast), and the Shell No-Pest Strip, which, at its height, was the largest selling insecticide in the United States. In the late 1960s and early 1970s, Frank, together with Cornell classmate Tom Reed, helped to develop and market the Four Seasons Ski Resort in Breckenridge, Colorado.
In 1961, Frank met Kay Harrigan and they married in Mobile, Alabama, a year later. They lived in San Francisco and Healdsburg, and raised three children: Dorine Woods Towle (Griff), Frank Montgomery Woods (Anne Robinson) and Alexis Woods (Daniel Donahoe). They have six grandchildren: Spencer and Audrey Towle, Thea and Keira Donahoe, Ella and Montgomery Woods.
Frank is survived by his brother, Bill Woods (Deborah Freedman), and his sister, Rhoda Reyner. His brother, Joseph Woods, predeceased him.
During the 1960s and 70’s Frank was deeply involved in politics. Although a registered Republican, in 1966 he was tapped to be Chairman of Ronald Reagan’s “Democrats for Reagan” gubernatorial campaign in Northern California. “They needed somebody to get all the Democrats on board,” Frank once said of his role. “I guess I just enjoyed dealing with people of a different persuasion.” In 1968, Reagan tapped Frank again, putting him in charge of 11 southern states, where he was responsible for securing delegates for the Miami convention. Reagan ultimately lost that election to Richard Nixon, but asked Frank to work on his 1970 gubernatorial campaign. Around the same time, Frank was appointed to the California State Personnel Board, where he served as President until 1980.
In the early 1970s, Frank began his notable career in the wine business. In 1974, he co-founded the award-winning Clos du Bois winery in Sonoma County with Tom Reed. Reed and Frank purchased vineyard property outside of Healdsburg, California in the Alexander Valley along the Russian River. From the beginning, Clos du Bois was a wine designed to be as consumer friendly as an American wine and as elegant as a French wine, a combination that was unheard of at the time. near Healdsburg.
Frank became an advocate for the American wine industry, especially for Sonoma County. Over the years Frank was chairman of the Wine Institute, chairman of the American participation in the International Organization of Viticulturalists (OIV), and was on the boards of the Fine Arts Museums of San Francisco, the Young Audiences of San Francisco, and the L.S.B. Leakey Foundation. In addition, he was a consultant to the wine industries in Bulgaria, Slovenia and Hungary under an agricultural project of the United States government. Frank also represented the US in various international wine negotiations with NAFTA and dealings with GATT in Geneva.
Frank was also very active in the family’s forest products business, Scotch Plywood Company, which operates in Alabama and Mississippi. For many years Frank was a member of the Scotch Board of Directors.
Frank Woods passed away on Thursday, May 8, in San Francisco. There will be a memorial service for Frank on Monday, May 19 at 3:00pm at Grace Cathedral. In lieu of flowers, the Woods family requests that remembrances to the deceased be sent to: Gladstone Foundation,1650 Owens Street, San Francisco, CA 94158; or KIPP Bay Area Schools, 1404 Franklin Street Suite 500, Oakland, CA 94612; or UCSF Diabetes Teaching Center, UCSF Foundation, Lock Box 45339, San Francisco, CA 94145.",http://www.winebusiness.com/people/?go=getPeopleArticle&dataId=132685,2014-11-21 02:31:53,CC-MAIN-2014-49,1416400372542.20,"[array(['/content/image/people/thumbnails/large/FrankWoods001.jpg', None],
       dtype=object)                                                      ]","Positive: The obituary celebrates the life and achievements of Frank Woods, portraying him as a dedicated family man, successful entrepreneur, and active member of various clubs and organizations. It highlights his contributions to the wine industry, his involvement in politics, and his philanthropic endeavors. The obituary also invites friends and family to honor Frank's memory at a memorial service and suggests donations to charitable organizations in lieu of flowers. (Pays tribute to Frank Woods' accomplishments and encourages support for charitable causes)
Negative: There are no negative aspects mentioned in the obituary, maintaining a wholly positive tone towards Frank Woods' life and legacy. (Lacks criticism or negative commentary)
Neutral: The obituary provides a comprehensive overview of Frank Woods' life, including his personal and professional achievements, affiliations, and interests. It also includes logistical details about the memorial service and suggestions for memorial donations. (Provides factual information about Frank Woods' life and death without expressing strong emotions or opinions)"
